Standard Number,Standard Version,Standard Title,Standard Level,Standard Type,Assessment Type,Credits,Domain,Standard Status,Standard Version Status
296,6,Operate an extrusion blow moulding machine,3,Unit,Internal,5,Extrusion Blow Moulding,Registered,Current
297,6,Run and monitor the extrusion blow moulding production process,3,Unit,Internal,10,Extrusion Blow Moulding,Registered,Current
298,6,Control and trial the extrusion blow moulding process for a simple extrusion blow mould,3,Unit,Internal,5,Extrusion Blow Moulding,Registered,Current
299,6,Service a simple mould for extrusion blow moulding,2,Unit,Internal,4,Extrusion Blow Moulding,Registered,Current
300,6,Service an advanced or complex mould for extrusion blow moulding,2,Unit,Internal,8,Extrusion Blow Moulding,Registered,Current
301,6,Service a die head for extrusion blow moulding,4,Unit,Internal,10,Extrusion Blow Moulding,Registered,Current
302,6,Set up simple moulds and ancillary equipment for extrusion blow moulding,3,Unit,Internal,8,Extrusion Blow Moulding,Registered,Current
303,6,Set up and start up an extrusion blow moulding machine to run advanced or complex moulds,4,Unit,Internal,5,Extrusion Blow Moulding,Registered,Current
304,1,Explain the role of the New Zealand Dairy Industry,3,Unit,Internal,4,Dairy,Expired,Current
305,1,Demonstrate pathogen control in the New Zealand Dairy Industry,3,Unit,Internal,4,Dairy,Expired,Current
306,1,Demonstrate cleaning practices in the New Zealand Dairy Industry,3,Unit,Internal,2,Dairy,Expired,Current
307,1,Apply health and safety practices in the workplace in the New Zealand Dairy Industry,1,Unit,Internal,4,Dairy,Expired,Current
308,1,Apply documentation principles in the New Zealand Dairy Industry,2,Unit,Internal,3,Dairy,Expired,Current
309,1,Handle identified chemicals safely in the New Zealand Dairy Industry,2,Unit,Internal,4,Dairy,Expired,Current
310,1,Maintain quality standards in the New Zealand Dairy Industry,2,Unit,Internal,4,Dairy,Expired,Current
311,1,Minimise resource losses in the New Zealand Dairy Industry,2,Unit,Internal,4,Dairy,Expired,Current
312,1,Demonstrate team skills in the New Zealand Dairy Industry,2,Unit,Internal,4,Dairy,Expired,Current
313,1,Apply engineering principles in the New Zealand Dairy Industry,2,Unit,Internal,4,Dairy,Expired,Current
314,1,"Describe milk production, collection and reception in the New Zealand Dairy Industry",3,Unit,Internal,3,Dairy,Expired,Current
315,1,Describe milk composition and chemistry in the New Zealand Dairy Industry,3,Unit,Internal,4,Dairy,Expired,Current
316,1,Describe dairy microbiological controls in the New Zealand Dairy Industry,3,Unit,Internal,4,Dairy,Expired,Current
317,1,Explain the basic components of automation in the New Zealand Dairy Industry,3,Unit,Internal,4,Dairy,Expired,Current
318,1,Explain heat exchangers and their heat treatment in the New Zealand Dairy Industry,3,Unit,Internal,4,Dairy,Expired,Current
319,1,Explain the cream products processes in the New Zealand Dairy Industry,3,Unit,Internal,3,Dairy,Expired,Current
320,1,Describe the manufacture of spray dried dairy products in the New Zealand Dairy Industry,3,Unit,Internal,4,Dairy,Expired,Current
321,1,Describe milk protein products processes in the New Zealand Dairy Industry,3,Unit,Internal,3,Dairy,Expired,Current
322,1,Describe the cheddar cheese making process in the New Zealand Dairy Industry,3,Unit,Internal,5,Dairy,Expired,Current
323,1,Explain whey product processes in the New Zealand Dairy Industry,3,Unit,Internal,3,Dairy,Expired,Current
324,1,Operate a dairy industry packing process in the New Zealand Dairy Industry,3,Unit,Internal,4,Dairy,Expired,Current
325,1,Control clean in place (CIP) systems in the New Zealand Dairy Industry,3,Unit,Internal,8,Dairy,Expired,Current
327,9,Demonstrate and apply knowledge of financial transaction source documents,2,Unit,Internal,3,Business Administration Services,Registered,Current
328,8,Identify the requirements for a financial record system for an entity,3,Unit,Internal,4,Business Administration Services,Expired,Current
329,10,Process financial information for cash transactions for an organisation,2,Unit,Internal,3,Business Administration Services,Registered,Current
330,6,Complete accounting procedures and produce financial statements,4,Unit,Internal,15,Business Administration Services,Expired,Current
331,6,Operate computer accounts receivable and payable ledger systems to produce financial information,3,Unit,Internal,5,Business Administration Services,Expired,Current
332,6,Operate computer general ledger accounting systems to produce financial information,3,Unit,Internal,5,Business Administration Services,Expired,Current
333,6,Operate computer general ledger accounting systems to produce financial reports,3,Unit,Internal,5,Business Administration Services,Expired,Current
334,9,Demonstrate knowledge of and operate inventory systems,3,Unit,Internal,4,Business Administration Services,Expired,Current
335,9,Prepare computerised payroll and related administration records using payroll software,4,Unit,Internal,6,Business Administration Services,Expired,Current
336,1,Demonstrate understanding of trade knowledge common to the printing and graphic photo process industries,2,Unit,Internal,7,Printing - Graphic Pre-Press,Expired,Current
337,1,Demonstrate understanding of core trade knowledge requirements for screen printing,2,Unit,Internal,5,Printing - Screen,Expired,Current
338,1,Demonstrate understanding of intermediate trade knowledge requirements for screen printing,3,Unit,Internal,2,Printing - Screen,Expired,Current
339,3,"Demonstrate knowledge of costing, production planning and supervisory principles for printing",3,Unit,Internal,2,Printing Production,Expired,Current
340,7,Demonstrate knowledge of safe working practices in the print industry,2,Unit,Internal,5,Printing Production,Registered,Current
341,7,Carry out routine and preventive maintenance common to the print industry,3,Unit,Internal,10,Printing Production,Registered,Current
342,1,Produce screens and make stencils for screen printing,3,Unit,Internal,12,Printing - Screen,Expired,Current
343,1,Undertake pre-press requirements for screen printing,3,Unit,Internal,15,Printing - Screen,Expired,Current
344,1,Undertake advanced pre-press requirements for screen printing,4,Unit,Internal,12,Printing - Screen,Expired,Current
345,1,Carry out make ready for screen printing,3,Unit,Internal,40,Printing - Screen,Expired,Current
346,1,Carry out advanced make ready for screen printing,4,Unit,Internal,15,Printing - Screen,Expired,Current
347,1,Undertake core printing requirements for screen printing,3,Unit,Internal,20,Printing - Screen,Expired,Current
348,1,Undertake intermediate printing requirements for screen printing,4,Unit,Internal,15,Printing - Screen,Expired,Current
349,1,Undertake advanced printing requirements for screen printing,4,Unit,Internal,15,Printing - Screen,Expired,Current
350,1,Wash up for screen printing,3,Unit,Internal,8,Printing - Screen,Expired,Current
351,2,Demonstrate trade knowledge for sheet-fed printing,2,Unit,Internal,8,Printing - Sheet-Fed,Expired,Current
352,3,Demonstrate advanced trade knowledge for sheet-fed printing,3,Unit,Internal,5,Printing - Sheet-Fed,Expired,Current
353,1,Demonstrate understanding of advanced trade knowledge requirements for sheet-fed printing,4,Unit,Internal,5,Printing - Sheet-Fed,Expired,Current
354,7,Carry out advanced maintenance for sheet-fed printing,4,Unit,Internal,5,Printing - Sheet-Fed,Expired,Current
355,7,Undertake pre-make ready for sheet-fed offset printing,3,Unit,Internal,20,Printing - Sheet-Fed,Registered,Current
356,1,Undertake advanced pre-press requirements for sheet-fed printing,3,Unit,Internal,5,Printing - Sheet-Fed,Expired,Current
357,1,Carry out make ready for single colour sheet-fed work,3,Unit,Internal,35,Printing - Sheet-Fed,Expired,Current
358,1,Carry out make ready for two colour sheet-fed work,4,Unit,Internal,15,Printing - Sheet-Fed,Expired,Current
359,1,Carry out advanced make ready for multi-colour sheet-fed work,4,Unit,Internal,15,Printing - Sheet-Fed,Expired,Current
360,1,Carry out make ready for four or more colour process sheet-fed work,5,Unit,Internal,15,Printing - Sheet-Fed,Expired,Current
361,1,Undertake printing requirements for single colour sheet-fed work,3,Unit,Internal,15,Printing - Sheet-Fed,Expired,Current
362,1,Undertake printing requirements for two colour sheet-fed work,4,Unit,Internal,10,Printing - Sheet-Fed,Expired,Current
363,1,Undertake advanced printing requirements for multi-colour sheet-fed work,4,Unit,Internal,10,Printing - Sheet-Fed,Expired,Current
364,1,Undertake printing requirements for four or more colour process sheet-fed work,5,Unit,Internal,10,Printing - Sheet-Fed,Expired,Current
365,7,Wash up a sheet-fed offset printing press,3,Unit,Internal,5,Printing - Sheet-Fed,Registered,Current
366,7,Undertake pre-press for sheet-fed letterpress work,3,Unit,Internal,15,Printing - Sheet-Fed,Expired,Current
367,1,Undertake advanced pre-press requirements for sheet-fed letterpress work,4,Unit,Internal,5,Printing - Sheet-Fed,Expired,Current
368,7,Make ready a sheet-fed letterpress printing press for single colour work,3,Unit,Internal,45,Printing - Sheet-Fed,Expired,Current
369,1,Carry out make ready for two colour sheet-fed letterpress work,4,Unit,Internal,15,Printing - Sheet-Fed,Expired,Current
370,7,Print single colour sheet-fed letterpress work,3,Unit,Internal,10,Printing - Sheet-Fed,Expired,Current
371,1,Undertake printing requirements for two colour sheet-fed letterpress work,4,Unit,Internal,10,Printing - Sheet-Fed,Expired,Current
372,7,Wash up a sheet-fed letterpress printing press,3,Unit,Internal,5,Printing - Sheet-Fed,Expired,Current
376,9,Employ customer service techniques to accommodate customer behavioural styles in a workplace,3,Unit,Internal,2,Service Delivery,Registered,Current
377,9,Demonstrate knowledge of diversity in workplaces,2,Unit,Internal,2,Work and Study Skills,Registered,Current
378,9,Provide customer service for international visitors,3,Unit,Internal,3,Service Delivery,Registered,Current
379,7,Sell goods and/or services over the telephone,3,Unit,Internal,3,Sales Transactions,Expired,Current
380,5,Carry out appraisal of a vehicle or machine in the automotive industry,4,Unit,Internal,4,Automotive Administration,Registered,Current
381,5,Store a vehicle or machine,3,Unit,Internal,3,Automotive Preventive Maintenance,Expired,Current
382,6,"Demonstrate knowledge of payment types, and carry out office procedures in an automotive company",3,Unit,Internal,4,Automotive Administration,Expired,Current
383,7,Demonstrate knowledge of purchasing and storing automotive parts and accessories,3,Unit,Internal,3,Automotive Sales,Registered,Current
384,6,Display and sell service station goods,2,Unit,Internal,4,Automotive Sales,Expired,Current
385,6,Sell automotive products,3,Unit,Internal,4,Automotive Sales,Expired,Current
386,6,Determine stock levels of automotive products,5,Unit,Internal,4,Automotive Administration,Expired,Current
387,6,"Demonstrate knowledge of stock ordering, and maintain stock for an automotive business",3,Unit,Internal,6,Automotive Administration,Expired,Current
388,6,Identify the market for automotive products and purchase stock,5,Unit,Internal,6,Automotive Sales,Expiring,Current
389,6,Implement a storage system for automotive parts,5,Unit,Internal,6,Automotive Administration,Expired,Current
390,6,Promote automotive products,5,Unit,Internal,4,Automotive Sales,Expired,Current
391,6,"Prepare a quotation for the supply of an automotive product, repair, or service",3,Unit,Internal,3,Automotive Administration,Expired,Current
392,7,Maintain automotive stock and plant security,2,Unit,Internal,2,Automotive Administration,Expired,Current
393,5,Carry out automotive service station forecourt duties,3,Unit,Internal,5,Automotive Sales,Registered,Current
394,5,Carry out a motor vehicle sales presentation,4,Unit,Internal,4,Automotive Sales,Registered,Current
395,6,Carry out prospecting for an automotive business,5,Unit,Internal,4,Automotive Sales,Expiring,Current
396,5,"Offer selective financing arrangements for a vehicle, machine, or components",5,Unit,Internal,5,Automotive Sales,Expired,Current
